Code,Longitude,Latitude
E4M,46.12287101,-64.0220514
E4N,46.20918948,-64.3509692
E4P,46.2163683,-64.48608807
E4R,46.32180101,-64.58834216
E4S,46.46630084,-64.89650066
E4T,46.42765108,-65.07576102
E4V,46.42909955,-64.7718976
E4W,46.66112692,-64.91157489
E4X,46.74764201,-65.11968946
E4Y,46.72113041,-65.37014013
E4Z,45.93502042,-65.20646273
E5A,45.26472498,-67.13893064
E5B,45.11672827,-67.01318385
E5C,45.13060589,-66.83617948
E5E,44.85007675,-66.89301238
E5G,44.70404499,-66.77548521
E5H,45.10033569,-66.70237552
E5J,45.1756458,-66.39618795
E5K,45.36368739,-66.23894818
E5L,45.66508593,-66.50957846
E5M,45.65823359,-66.4175744
E5N,45.52119057,-65.82477896
E5P,45.72740045,-65.63665806
E5R,45.38383796,-65.68123871
E5S,45.40104908,-66.0970836
E5T,45.6621611,-65.89636314
E5V,45.01489924,-66.95372564
E6A,46.3687726,-66.58412152
E6B,46.20397482,-66.67090426
E6C,46.1833782,-66.58482673
E6E,46.04986411,-67.23024598
E6G,45.9511436,-67.3444449
E6H,45.78848876,-67.48447729
E6J,45.5968313,-67.29447933
E6K,45.7636422,-66.99109788
E6L,46.04538399,-66.92479193
E7A,47.31263714,-68.56635463
E7B,47.43946243,-68.36749782
E7C,47.34700949,-68.18207015
E7E,47.19606074,-67.91118537
E7G,46.91906598,-67.49107868
E7H,46.73834204,-67.67306595
E7J,46.39333154,-67.67270535
E7K,46.45756931,-67.59351828
E7L,46.44589663,-67.5314732
E7M,46.15511769,-67.59958098
E7N,46.07481371,-67.5949521
E7P,46.31601627,-67.45087399
E8A,47.53969308,-67.39698209
E8B,47.61354804,-67.17939049
E8C,48.05453657,-66.38095255
E8E,47.96934067,-66.3361659
E8G,47.89750599,-66.00431679
E8J,47.78312392,-65.73910335
E8K,47.6906332,-65.72393417
E8L,47.64358794,-65.20108562
E8M,47.79658206,-65.05263175
E8N,47.75542124,-65.00020378
E8P,47.66304524,-65.01544517
E8R,47.73176083,-64.7645759
E8S,47.7558976,-64.68564775
E8T,47.82983527,-64.61317243
E9A,47.05450925,-64.98623236
E9B,46.67380758,-65.92102531
E9C,46.55025581,-66.17521091
E9E,46.92659466,-65.83012626
E9G,47.28063449,-65.07880876
E9H,47.36931923,-64.99336567
